win_pct,sq_err,pct_cor,cleared,cor_digs,inc_digs,cor_flags,inc_flags
55.0829299262,0.00854616148082,1.0,54,10,416,0,0
55.0864942073,0.000760521898066,1.0,54,20,202,0,0
55.0900579227,0.00179020366765,1.0,54,29,400,0,0
55.0936210727,0.011498503772,0.984375,54,14,260,0,0
55.0892502975,0.0986298537305,0.890625,18,3,71,2,0
55.0848802158,0.0571278854441,0.9375,42,8,71,4,1
55.0884429285,0.00133064433502,1.0,54,14,279,0,0
55.0840736041,0.0479674053802,0.953125,46,8,113,6,0
55.0876358157,0.000235086067679,1.0,54,22,1337,0,0
55.0911974623,0.00278901859258,1.0,54,23,760,0,0
55.0947585441,0.00256095376061,1.0,54,15,258,0,0
55.0903901047,0.15121730036,0.84375,7,1,63,0,1
55.0939506858,0.000132997319193,1.0,54,13,821,0,0
55.0975107024,0.00118184523422,1.0,54,15,362,0,0
55.0931430836,0.0308240426562,0.953125,51,7,138,7,0
55.0967025999,0.0108711695072,0.96875,54,23,469,0,0
55.1002615519,0.0584967962831,0.96875,54,5,85,0,0
55.0958947535,0.0310980790476,0.984375,42,15,188,7,0
55.0994532055,0.00498549412499,1.0,54,21,217,0,0
55.1030110935,0.00759475606364,0.984375,54,10,233,0,0
55.0986451153,0.0750340743482,0.921875,21,9,87,3,0
55.1022025036,0.00108934954351,1.0,54,15,328,0,0
55.0978372812,0.0287180078312,0.96875,48,12,179,6,0
55.1013941698,0.00201065612094,1.0,54,13,216,0,0
55.104950495,0.00163360511606,1.0,54,14,243,0,0
55.1085062569,0.0101287470518,0.984375,54,16,242,0,0
55.1120614556,0.000958632614871,1.0,54,19,285,0,0
55.1156160912,0.0040245276172,1.0,54,16,329,0,0
55.1112518806,0.0399961487403,0.921875,48,6,68,3,0
55.106888361,0.0993280679391,0.890625,18,2,135,4,0
55.1025255324,0.0264442251199,0.96875,53,18,297,7,1
55.1060797973,0.00794914533035,0.984375,54,5,396,0,0
55.1017177234,0.010691170625,0.984375,52,9,391,8,1
55.1052714896,0.0134580481172,0.96875,54,16,416,0,0
55.1009101702,0.0492010491581,0.90625,47,16,356,6,1
55.1044634378,0.00811405998199,0.984375,54,16,250,0,0
55.1080161431,0.00254576962675,1.0,54,25,928,0,0
55.1115682861,0.000273177263634,1.0,54,14,494,0,0
55.1151198671,0.0126821148542,0.96875,54,16,387,0,0
55.1186708861,0.00657010546621,0.984375,54,15,369,0,0
55.1222213432,0.00147947277016,1.0,54,25,712,0,0
55.1257712387,0.000694770500169,1.0,54,10,170,0,0
55.1293205726,0.000865934061307,1.0,54,28,272,0,0
55.1249604556,0.0581039922987,0.921875,42,6,209,4,1
55.1206010281,0.0141394659394,0.96875,53,11,553,8,0
55.1241499288,0.00920550639863,0.984375,54,10,215,0,0
55.1197912548,0.0106990689467,0.984375,53,22,416,8,1
